speed_score,accuracy_score,feedback_quality_score,elapsed_time
1,4,3,9.868340015411377
1,4,5,7.040478944778442
1,5,4,8.212397336959839
1,5,5,5.842084169387817
1,4,5,7.71547794342041
1,5,5,7.9225242137908936
1,5,5,8.39277172088623
1,4,5,7.470113754272461
1,4,4,7.603936672210693
1,5,4,10.101741552352905
1,5,5,10.377620697021484
1,5,5,7.1639885902404785
1,4,3,9.213687896728516
1,4,5,9.839270114898682
1,4,5,9.24878191947937
1,4,4,9.220714807510376
1,5,5,7.5401270389556885
1,5,5,9.356658220291138
1,5,5,8.781255722045898
